id,publication_year,cited_by_count,author_ids
https://openalex.org/W3103362336,2009,7043,"['A5014647140', 'A5082953212', 'A5067142016']"
https://openalex.org/W2047940964,2004,6985,"['A5014647140', 'A5067142016', 'A5008033989']"
https://openalex.org/W2018045523,2002,4177,"['A5007285525', 'A5067021466', 'A5029755266', 'A5088333030', 'A5038976962']"
https://openalex.org/W2119298903,2012,3888,"['A5054913386', 'A5065660380', 'A5065503150']"
https://openalex.org/W1987228002,2010,3058,"['A5100744117', 'A5080830598', 'A5022334515', 'A5038976962']"
https://openalex.org/W2142887429,2002,2453,['A5038976962']
https://openalex.org/W1972309850,2005,2199,['A5038976962']
https://openalex.org/W2157082398,2008,2113,"['A5014647140', 'A5008033989', 'A5067142016']"
https://openalex.org/W2018049970,2003,2088,"['A5007285525', 'A5038976962']"
https://openalex.org/W2141113219,2007,1868,"['A5041695925', 'A5082358191', 'A5063599487', 'A5054049660', 'A5108542568', 'A5065692438', 'A5044033087', 'A5038976962']"
https://openalex.org/W2092124750,2007,1643,"['A5035349918', 'A5038976962', 'A5066728847']"
https://openalex.org/W2056782561,2015,1391,"['A5025090907', 'A5048563533', 'A5087315606', 'A5012751505', 'A5040546953', 'A5028396638', 'A5038976962']"
https://openalex.org/W1533903614,2003,1296,['A5038976962']
https://openalex.org/W2133400794,2010,1190,"['A5100744117', 'A5004780022', 'A5100383517', 'A5038976962']"
https://openalex.org/W2277170616,2016,970,"['A5031928873', 'A5033843421', 'A5038976962']"
https://openalex.org/W2061099285,2010,929,"['A5069948947', 'A5078253058', 'A5014647140']"
https://openalex.org/W1807286188,2013,823,"['A5054913386', 'A5056226085', 'A5024523395']"
https://openalex.org/W2095072199,2005,795,['A5014647140']
https://openalex.org/W3006753318,2020,747,"['A5046420137', 'A5047198701', 'A5056242621', 'A5038976962']"
https://openalex.org/W2107407601,2007,690,['A5038976962']
https://openalex.org/W2073689275,2006,673,"['A5085604268', 'A5052367065', 'A5070503646', 'A5032860394', 'A5044511272', 'A5038976962']"
https://openalex.org/W2101108259,2011,670,"['A5002041772', 'A5044898565', 'A5100744117', 'A5024505700', 'A5038976962']"
https://openalex.org/W1428768901,2015,619,['A5054913386']
https://openalex.org/W2346504520,2010,598,"['A5016338317', 'A5036765731', 'A5028932589']"
https://openalex.org/W2547045893,2016,561,"['A5056242621', 'A5002041772', 'A5110933986', 'A5100744117', 'A5038976962']"
https://openalex.org/W2102017123,2015,516,"['A5014647140', 'A5027903946', 'A5027079032']"
https://openalex.org/W3098098882,2008,513,"['A5065819354', 'A5111672074', 'A5100383519', 'A5045287985', 'A5113594168', 'A5038976962']"
https://openalex.org/W2155333785,2007,501,['A5054913386']
https://openalex.org/W1981949323,2011,495,['A5038976962']
https://openalex.org/W2104946322,2002,478,"['A5090696901', 'A5029186501', 'A5038976962']"
https://openalex.org/W3126074306,2000,459,"['A5062113881', 'A5007285525', 'A5113850996', 'A5066728847', 'A5038976962']"
https://openalex.org/W2044977617,2001,455,"['A5015614807', 'A5006225383', 'A5038976962', 'A5101587306']"
https://openalex.org/W2082396928,2011,449,"['A5059236838', 'A5068484674', 'A5062403203', 'A5038976962']"
https://openalex.org/W2067062227,1991,372,"['A5038976962', 'A5066728847']"
https://openalex.org/W1544540079,2011,339,"['A5041695925', 'A5027903946', 'A5111672074', 'A5038976962', 'A5010495671']"
https://openalex.org/W2115682136,2007,331,"['A5014647140', 'A5000038347', 'A5032779977']"
https://openalex.org/W120264976,2006,327,"['A5075414122', 'A5038976962', 'A5000679279']"
https://openalex.org/W2064468105,2006,322,"['A5054913386', 'A5052823400']"
https://openalex.org/W2142074516,2011,319,"['A5062403203', 'A5002041772', 'A5038976962']"
https://openalex.org/W2009754240,2010,298,"['A5054913386', 'A5103118624']"
https://openalex.org/W3133874049,2021,240,"['A5045620226', 'A5046348432']"
https://openalex.org/W2571367037,2017,232,"['A5067829989', 'A5082130337', 'A5086458025', 'A5055766880', 'A5039182654']"
https://openalex.org/W2585057539,2017,229,"['A5014647140', 'A5027079032', 'A5056242621']"
https://openalex.org/W2017912703,2011,225,"['A5076852435', 'A5073592405']"
https://openalex.org/W3022499311,2020,222,"['A5083303782', 'A5034076566', 'A5016098704', 'A5023997241']"
https://openalex.org/W2951851909,2014,219,"['A5047897879', 'A5002041772', 'A5100744117', 'A5038976962']"
https://openalex.org/W2044360356,2014,213,"['A5070753993', 'A5100744117', 'A5109067519', 'A5040715593', 'A5031120336', 'A5038976962', 'A5061160911']"
https://openalex.org/W2074562205,2014,204,"['A5110544572', 'A5014647140']"
https://openalex.org/W2899748628,2018,171,"['A5075585231', 'A5056242621', 'A5036306729', 'A5085034251', 'A5038976962']"
https://openalex.org/W3122113325,2021,161,"['A5030020822', 'A5020533147', 'A5054913386', 'A5056499434']"
https://openalex.org/W3023751895,2020,144,"['A5064296964', 'A5071122166', 'A5101702632', 'A5057243118', 'A5087990460', 'A5007176508']"
https://openalex.org/W3189072387,2021,133,"['A5011168888', 'A5030987696', 'A5014647140', 'A5080732494', 'A5054707908', 'A5000679279']"
https://openalex.org/W4205302485,2021,127,"['A5002041772', 'A5038976962']"
https://openalex.org/W4213132988,2022,107,"['A5074777044', 'A5090242279', 'A5038976962']"
https://openalex.org/W4385741628,2023,70,"['A5023775697', 'A5054913386', 'A5020533147', 'A5056499434']"
https://openalex.org/W4366742488,2023,59,"['A5046790968', 'A5076067124', 'A5064987258', 'A5038976962']"
https://openalex.org/W4392056515,2024,22,"['A5041499491', 'A5063647785', 'A5054913386', 'A5021501103', 'A5014466973', 'A5056499434']"
https://openalex.org/W2169981250,1999,331,['A5054913386']
https://openalex.org/W2017883059,1982,267,['A5028932589']
https://openalex.org/W2106684603,2000,260,"['A5062113881', 'A5007285525', 'A5066728847', 'A5113850996', 'A5038976962']"
https://openalex.org/W2010421807,2006,256,"['A5070503646', 'A5003678652', 'A5102924506', 'A5042847942', 'A5052184691', 'A5038976962']"
https://openalex.org/W1908556531,1994,237,"['A5045629242', 'A5038976962', 'A5058910452']"
https://openalex.org/W2914263187,2009,236,"['A5073592405', 'A5028448267', 'A5068591642', 'A5078151375', 'A5089236260', 'A5068408717', 'A5060617658']"
https://openalex.org/W3125447264,2005,236,"['A5052367065', 'A5038976962']"
https://openalex.org/W2026313208,2002,219,"['A5066371574', 'A5018066582', 'A5075151889', 'A5038976962', 'A5090303125']"
https://openalex.org/W3104885210,1997,213,['A5038976962']
https://openalex.org/W2129164226,2010,193,"['A5090966134', 'A5036278905', 'A5076172404', 'A5036744986', 'A5073592405']"
https://openalex.org/W2142387245,2004,179,"['A5021537631', 'A5073592405']"
https://openalex.org/W2049213211,2014,165,"['A5110933986', 'A5002041772', 'A5056242621', 'A5100744117', 'A5073875709', 'A5038976962']"
https://openalex.org/W2079844646,2006,158,"['A5089831647', 'A5063648924', 'A5014647140', 'A5008033989']"
https://openalex.org/W2064631417,2007,155,"['A5028932589', 'A5036765731']"
https://openalex.org/W3124885118,2007,155,"['A5064297795', 'A5036635872', 'A5038976962', 'A5034550995']"
https://openalex.org/W1972588194,2009,149,"['A5022534788', 'A5068157871', 'A5010495671', 'A5038976962']"
https://openalex.org/W2155058903,2008,148,"['A5014647140', 'A5008033989', 'A5067142016']"
https://openalex.org/W2987025468,2010,135,['A5038976962']
https://openalex.org/W2902096938,2018,127,"['A5075717967', 'A5038895553', 'A5002723139', 'A5038976962', 'A5064297795']"
https://openalex.org/W2076371934,2014,119,"['A5022713919', 'A5029191515', 'A5083303782']"
https://openalex.org/W2565597050,2017,119,"['A5048132210', 'A5054519023', 'A5014647140', 'A5027079032']"
https://openalex.org/W1508765177,2014,116,"['A5047897879', 'A5002041772', 'A5100744117', 'A5038976962']"
https://openalex.org/W2102125399,2012,112,"['A5009844359', 'A5065692438', 'A5044033087', 'A5038976962', 'A5064827570']"
https://openalex.org/W2023988595,2012,110,['A5038976962']
https://openalex.org/W2414498945,2016,109,"['A5110933986', 'A5100744117', 'A5111940488', 'A5073875709', 'A5038976962', 'A5002041772']"
https://openalex.org/W2596487977,2017,95,['A5054913386']
https://openalex.org/W3115477807,2020,92,"['A5012379637', 'A5022593047', 'A5023061106', 'A5019000888', 'A5073592405']"
https://openalex.org/W2987501176,2019,76,"['A5054913386', 'A5056226085', 'A5024523395', 'A5038025354']"
https://openalex.org/W3207701354,2021,68,"['A5040820784', 'A5100454614', 'A5051322312', 'A5046881273', 'A5047351656', 'A5112283852', 'A5032530421']"
https://openalex.org/W4312065168,2022,62,"['A5064296964', 'A5077079119', 'A5069454833', 'A5069999998', 'A5103706325', 'A5000679279']"
https://openalex.org/W3161219713,2021,60,"['A5076651767', 'A5054913386', 'A5112992954', 'A5076732230', 'A5020533147', 'A5056499434']"
https://openalex.org/W3197182080,2021,59,"['A5064296964', 'A5027814433', 'A5071294124', 'A5000679279']"
https://openalex.org/W4213132430,2022,58,"['A5025510459', 'A5038976962']"
https://openalex.org/W4210847908,2022,53,"['A5046597934', 'A5031084511', 'A5085466639', 'A5062125301', 'A5012379637', 'A5007685841', 'A5073592405']"
https://openalex.org/W4292475382,2022,39,"['A5101803962', 'A5055446394', 'A5101965096', 'A5036936081', 'A5014647140']"
https://openalex.org/W4380302601,2023,35,"['A5012327209', 'A5052168303', 'A5045843874', 'A5054913386', 'A5056499434']"
https://openalex.org/W4365999004,2023,26,"['A5040820784', 'A5051322312', 'A5019512764', 'A5057624211', 'A5046881273', 'A5102962995', 'A5032530421']"
https://openalex.org/W4403839497,2024,12,"['A5057083249', 'A5064296964', 'A5079825006']"
https://openalex.org/W2071047236,1998,168,"['A5079079128', 'A5008020307', 'A5050073085', 'A5074289360', 'A5069603059', 'A5068763840']"
https://openalex.org/W3021340442,2005,146,"['A5014647140', 'A5008033989']"
https://openalex.org/W116143187,2001,145,['A5038976962']
https://openalex.org/W2038370668,2008,108,"['A5022534788', 'A5068157871', 'A5022334515', 'A5010495671', 'A5038976962']"
https://openalex.org/W1482337414,2008,101,"['A5041337615', 'A5073592405']"
https://openalex.org/W2085547213,2012,87,"['A5014647140', 'A5032779977']"
https://openalex.org/W3121790145,2013,85,"['A5014647140', 'A5014032439']"
https://openalex.org/W2129359184,2012,84,"['A5073592405', 'A5031816187', 'A5079825006']"
https://openalex.org/W2994907129,2012,83,"['A5022334515', 'A5052965447', 'A5022657536', 'A5070753993', 'A5022368086', 'A5109223734', 'A5038976962']"
https://openalex.org/W2009603815,2013,78,"['A5076413226', 'A5102447965', 'A5073592405', 'A5049140696', 'A5010436269']"
https://openalex.org/W2791006121,2018,76,"['A5082095937', 'A5071293344']"
https://openalex.org/W2964083839,2016,76,"['A5048132210', 'A5027079032', 'A5014647140']"
https://openalex.org/W2189259429,2016,69,"['A5041361121', 'A5038976962']"
https://openalex.org/W2768092828,2017,68,"['A5071293344', 'A5080680637', 'A5055069190', 'A5080732494', 'A5043228682']"
https://openalex.org/W2305957822,2016,62,"['A5064296964', 'A5043639182', 'A5111367077', 'A5075956753']"
https://openalex.org/W2905149203,2018,62,"['A5088569788', 'A5043657584', 'A5112779500', 'A5054913386', 'A5017914184']"
https://openalex.org/W2962271940,2019,60,"['A5059083364', 'A5068414530', 'A5054913386', 'A5027392119']"
https://openalex.org/W3031631137,2020,60,"['A5040820784', 'A5074522618', 'A5032530421']"
https://openalex.org/W3161814337,2021,46,"['A5052168303', 'A5012327209', 'A5054913386', 'A5056499434']"
https://openalex.org/W3161418208,2021,42,"['A5012379637', 'A5046196425', 'A5083020821', 'A5033406681', 'A5031171331', 'A5073592405']"
https://openalex.org/W4224990314,2022,33,"['A5012379637', 'A5019000888', 'A5032327024', 'A5022593047', 'A5073592405']"
https://openalex.org/W4225163363,2022,32,"['A5040820784', 'A5051322312', 'A5100454620', 'A5030788989', 'A5057624211', 'A5046881273', 'A5112283852', 'A5032530421']"
https://openalex.org/W4366003190,2023,16,"['A5057624211', 'A5040820784', 'A5019512764', 'A5051322312', 'A5037821383', 'A5102962995', 'A5032530421', 'A5046881273']"
https://openalex.org/W4301913819,1998,122,"['A5087469787', 'A5066702972', 'A5050073085', 'A5021956373', 'A5074994048', 'A5068763840']"
https://openalex.org/W1548043144,2004,118,['A5054913386']
https://openalex.org/W1589788404,2001,117,"['A5021537631', 'A5073592405']"
https://openalex.org/W2146617181,2006,103,['A5054913386']
https://openalex.org/W2331384292,2002,103,['A5054913386']
https://openalex.org/W1600215005,2002,102,"['A5073592405', 'A5021537631']"
https://openalex.org/W2156903974,2007,101,"['A5054913386', 'A5063647785']"
https://openalex.org/W4298095722,1996,99,"['A5032015244', 'A5028932589', 'A5109805326']"
https://openalex.org/W2167335523,2014,65,"['A5101980060', 'A5100744117', 'A5049135480', 'A5038976962', 'A5062403203', 'A5002041772']"
https://openalex.org/W2968516330,2018,54,"['A5053433716', 'A5091017885', 'A5071293344', 'A5011998621', 'A5055069190', 'A5062276512', 'A5043228682']"
https://openalex.org/W3080574198,2020,43,"['A5052168303', 'A5054913386']"
https://openalex.org/W3089716856,2020,39,"['A5002528182', 'A5054913386', 'A5044643096', 'A5014379074', 'A5055984015', 'A5049923911']"
https://openalex.org/W3159147869,2021,35,"['A5087150169', 'A5040820784', 'A5032530421']"
https://openalex.org/W3200615545,2021,33,"['A5055354975', 'A5023525324', 'A5054913386']"
https://openalex.org/W4224994322,2022,26,"['A5057624211', 'A5040820784', 'A5100454626', 'A5051322312', 'A5029239726', 'A5112283852', 'A5032530421', 'A5046881273']"
https://openalex.org/W4223945749,2022,24,"['A5023775697', 'A5054913386', 'A5020533147', 'A5056499434']"
https://openalex.org/W4388819481,2023,12,"['A5046684626', 'A5047198701', 'A5038976962']"
https://openalex.org/W3100467400,2013,47,"['A5078651528', 'A5014647140']"
https://openalex.org/W2784989819,2018,40,"['A5062285844', 'A5071293344', 'A5064398083', 'A5033097735']"
https://openalex.org/W2803567385,2018,39,"['A5054519023', 'A5054164320', 'A5048132210', 'A5014647140']"
https://openalex.org/W2969828666,2019,35,"['A5016819382', 'A5075314395', 'A5002362611']"
https://openalex.org/W3111841537,2020,32,"['A5000202774', 'A5049602010', 'A5038976962']"
https://openalex.org/W3126660917,2021,29,"['A5052015967', 'A5014303032', 'A5058707736', 'A5073592405', 'A5034703920']"
https://openalex.org/W4235862367,2021,28,"['A5076651767', 'A5054913386', 'A5112992954', 'A5076732230', 'A5020533147', 'A5056499434']"
https://openalex.org/W3159066689,2021,27,"['A5070705628', 'A5044610534', 'A5025956553', 'A5030250319', 'A5085478298', 'A5071293344', 'A5062285844', 'A5031744461']"
