id,display_name,country_code
A5014647140,Aaron Clauset,
A5082953212,Cosma Rohilla Shalizi,
A5067142016,M. E. J. Newman,
A5008033989,Cristopher Moore,US
A5007285525,Erzsébet Ravasz Regan,US
A5067021466,A. L. Somera,US
A5029755266,D. A. Mongru,US
A5088333030,Zoltán N. Oltvai,US
A5038976962,Albert‐László Barabási,US
A5054913386,Adam J. Berinsky,US
A5065660380,Gregory A. Huber,US
A5065503150,Gabriel Lenz,US
A5100744117,Chaoming Song,US
A5080830598,Zehui Qu,CN
A5022334515,Nicholas Blumm,US
A5041695925,Jukka‐Pekka Onnela,FI
A5082358191,Jari Saramäki,FI
A5063599487,Jörkki Hyvönen,FI
A5054049660,Gábor Szabó,US
A5108542568,David Lazer,US
A5065692438,Kimmo Kaski,FI
A5044033087,János Kertész,FI
A5035349918,Gergely Palla,HU
A5066728847,Tamás Vicsek,HU
A5025090907,Jörg Menche,US
A5048563533,Amitabh Sharma,US
A5087315606,Maksim Kitsak,US
A5012751505,Susan Dina Ghiassian,US
A5040546953,Marc Vidal,US
A5028396638,Joseph Loscalzo,US
A5004780022,Tal Koren,US
A5100383517,Pu Wang,US
A5031928873,Jianxi Gao,US
A5033843421,Baruch Barzel,IL
A5069948947,Benjamin H. Good,US
A5078253058,Yves-Alexandre de Montjoye,BE
A5056226085,Michele F. Margolis,US
A5024523395,Michael Sances,US
A5046420137,Junming Huang,CN
A5047198701,Alexander J. Gates,US
A5056242621,Roberta Sinatra,DK
A5085604268,Alexei Vázquez,US
A5052367065,J. G. Oliveira,PT
A5070503646,Zoltán Dezső,US
A5032860394,K.-I. Goh,US
A5044511272,Imre Kondor,HU
A5002041772,Dashun Wang,US
A5044898565,Dino Pedreschi,IT
A5024505700,Fosca Giannotti,IT
A5016338317,Sadao Nagaoka,JP
A5036765731,Kazuyuki Motohashi,JP
A5028932589,Akira Gotō,JP
A5110933986,Pierre Deville,BE
A5027903946,Samuel Arbesman,US
A5027079032,Daniel B. Larremore,US
A5065819354,Julián Candia,US
A5111672074,Marta C. González,US
A5100383519,Pu Wang,US
A5045287985,Timothy Schoenharl,US
A5113594168,Greg Madey,US
A5090696901,Maxim A. Makeev,US
A5029186501,Rodolfo Cuerno,ES
A5062113881,Zoltán Néda,RO
A5113850996,Y. Bréchet,FR
A5015614807,Soon‐Hyung Yook,US
A5006225383,Hawoong Jeong,US
A5101587306,Yuhai Tu,US
A5059236838,Yong‐Yeol Ahn,US
A5068484674,Sebastian E. Ahnert,GB
A5062403203,James P. Bagrow,US
A5010495671,Nicholas A. Christakis,US
A5000038347,Maxwell Young,US
A5032779977,Kristian Skrede Gleditsch,GB
A5075414122,Mark Newman,
A5000679279,Duncan J. Watts,
A5052823400,Donald R. Kinder,US
A5103118624,Gabriel Lenz,US
A5045620226,Abigail Z. Jacobs,US
A5046348432,Hanna Wallach,GB
A5067829989,Dian A. de Vries,NL
A5082130337,A. Marthe Möller,NL
